symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
PSX	86	34556	33180	33474	26574	20304	20304	1082	7054	12876	0	62	46	86	0	86	86	86	86	84	2
PYPL	86	34556	33180	33980	33516	33176	33176	576	0	5	0	36	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	33724	33512	33062	33062	832	68	118	0	52	21	41	0	86	86	86	86	84	2
QQQ	86	34556	33180	34129	34086	33914	33914	498	380	434	0	8	1	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	33596	33277	32478	32478	960	335	702	0	60	41	77	0	86	86	86	86	84	2
RF	86	34556	33180	30834	20182	9220	9220	3722	13446	23960	0	62	55	86	0	86	86	86	86	84	2
RTX	86	34556	33180	33548	32349	30243	30243	1008	1279	2937	0	63	47	81	0	86	86	86	86	84	2
SBUX	86	34556	33180	33676	33461	32885	32885	880	167	295	0	55	29	60	0	86	86	86	86	84	2
SCHW	86	34556	33180	33580	31839	29669	29669	976	1789	3511	0	61	44	83	0	86	86	86	86	84	2
SHOP	86	34556	33180	33644	33460	32992	32992	912	120	189	0	57	26	46	0	86	86	86	86	84	2
SLB	86	34556	33180	33580	32738	31281	31281	976	890	1899	0	61	40	83	0	86	86	86	86	84	2
SNOW	86	34556	33180	33724	33463	33015	33015	832	85	165	0	52	29	50	0	86	86	86	86	84	2
SOFI	86	34556	33180	34000	33518	33183	33183	556	0	0	0	36	0	0	0	86	86	86	86	84	2
SPGI	86	34556	33180	32368	23075	13974	13974	2188	10553	19206	0	63	48	86	0	86	86	86	86	84	2
SPY	86	34556	33180	34457	34419	34355	34355	144	0	0	0	9	0	0	0	86	86	86	86	84	2
TFC	86	34556	33180	32968	22994	14251	14251	1588	10634	18929	0	63	54	86	0	86	86	86	86	84	2
TGT	86	34556	33180	33724	33496	33032	33032	832	84	149	0	52	26	49	0	86	86	86	86	84	2
TSLA	86	34556	33180	34034	33539	33215	33215	522	0	0	0	37	0	0	0	86	86	86	86	84	2
UBER	86	34556	33180	33948	33525	33170	33170	608	8	12	0	38	8	12	0	86	86	86	86	84	2
UNH	86	34556	33180	33984	33519	33185	33185	572	2	2	0	37	1	1	0	86	86	86	86	84	2
UPST	86	34556	33180	33580	33150	32396	32396	976	462	784	0	61	38	72	0	86	86	86	86	84	2
USB	86	34556	33180	33554	28973	23036	23036	1002	4655	10144	0	62	44	86	0	86	86	86	86	84	2
V	86	34556	33180	33654	33478	32918	32918	902	151	263	0	57	27	58	0	86	86	86	86	84	2
VLO	86	34556	33180	33564	30527	26751	26751	992	3101	6429	0	62	42	86	0	86	86	86	86	84	2
WFC	86	34556	33180	33548	33334	32576	32576	1008	294	604	0	63	41	83	0	86	86	86	86	84	2
WMT	86	34556	33180	33964	33519	33184	33184	592	0	0	0	37	0	0	0	86	86	86	86	84	2
XOM	86	34556	33180	33692	33532	33006	33006	864	64	174	0	54	28	68	0	86	86	86	86	84	2
