symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
CAT	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
CL	1	406	390	406	390	234	0	0	0	156	156	0	234	0	0	0	1	1	1	1	1	0	1	0
CME	1	406	390	406	390	295	0	0	0	95	95	0	295	0	0	0	1	1	1	1	1	0	1	0
CMG	1	406	390	406	390	383	0	0	0	7	7	0	383	0	0	0	1	1	1	1	1	0	1	0
COIN	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
COP	1	406	390	406	390	353	0	0	0	37	37	0	353	0	0	0	1	1	1	1	1	0	1	0
COST	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
CRM	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
CSCO	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
CVS	1	406	390	406	390	334	0	0	0	56	56	0	334	0	0	0	1	1	1	1	1	0	1	0
CVX	1	406	390	406	390	389	0	0	0	1	1	0	389	0	0	0	1	1	1	1	1	0	1	0
DE	1	406	390	406	390	344	0	0	0	46	46	0	344	0	0	0	1	1	1	1	1	0	1	0
DIS	1	406	390	406	390	388	0	0	0	2	2	0	388	0	0	0	1	1	1	1	1	0	1	0
EOG	1	406	390	406	390	245	0	0	0	145	145	0	245	0	0	0	1	1	1	1	1	0	1	0
ETN	1	406	390	406	390	308	0	0	0	82	82	0	308	0	0	0	1	1	1	1	1	0	1	0
GE	1	406	390	406	390	384	0	0	0	6	6	0	384	0	0	0	1	1	1	1	1	0	1	0
GILD	1	406	390	406	390	329	0	0	0	61	61	0	329	0	0	0	1	1	1	1	1	0	1	0
GIS	1	406	390	406	390	320	0	0	0	70	70	0	320	0	0	0	1	1	1	1	1	0	1	0
GOOGL	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
GS	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
