dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-04	2025-12	PG	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-04	2025-12	PM	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-04	2025-12	PNC	open	true	true	true	true	406	390	380	406	256	256	26	0	134	0
2025-12-04	2025-12	PSX	open	true	true	true	true	406	390	390	406	210	210	16	0	180	0
2025-12-04	2025-12	RF	open	true	true	true	true	406	390	340	406	107	107	66	0	283	0
2025-12-04	2025-12	RTX	open	true	true	true	true	406	390	390	406	357	357	16	0	33	0
2025-12-04	2025-12	SBUX	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	SCHW	open	true	true	true	true	406	390	390	406	353	353	16	0	37	0
2025-12-04	2025-12	SLB	open	true	true	true	true	406	390	390	406	376	376	16	0	14	0
2025-12-04	2025-12	SPGI	open	true	true	true	true	406	390	380	406	140	140	26	0	250	0
2025-12-04	2025-12	TFC	open	true	true	true	true	406	390	390	406	187	187	16	0	203	0
2025-12-04	2025-12	TGT	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-04	2025-12	USB	open	true	true	true	true	406	390	390	406	296	296	16	0	94	0
2025-12-04	2025-12	V	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	VLO	open	true	true	true	true	406	390	390	406	289	289	16	0	101	0
2025-12-04	2025-12	WFC	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-05	2025-12	ABBV	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-05	2025-12	ABNB	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-05	2025-12	AFRM	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	ALLY	open	true	true	true	true	406	390	380	406	201	201	26	0	189	0
2025-12-05	2025-12	AMGN	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-05	2025-12	AXP	open	true	true	true	true	406	390	390	406	363	363	16	0	27	0
2025-12-05	2025-12	BLK	open	true	true	true	true	406	390	390	406	241	241	16	0	149	0
2025-12-05	2025-12	BMY	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-05	2025-12	C	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-05	2025-12	CAT	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-05	2025-12	CL	open	true	true	true	true	406	390	390	406	235	235	16	0	155	0
2025-12-05	2025-12	CME	open	true	true	true	true	406	390	390	406	182	182	16	0	208	0
2025-12-05	2025-12	CMG	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-05	2025-12	COP	open	true	true	true	true	406	390	390	406	377	377	16	0	13	0
2025-12-05	2025-12	CSCO	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-05	2025-12	CVS	open	true	true	true	true	406	390	390	406	382	382	16	0	8	0
2025-12-05	2025-12	CVX	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-05	2025-12	DE	open	true	true	true	true	406	390	390	406	322	322	16	0	68	0
2025-12-05	2025-12	DIS	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
