symbol	expectedSymbolDays	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
SNOW	86	34556	33532	33429	33015	33015	1024	1127	1541	0	64	65	86	0	84	2
SOFI	86	34556	33552	33518	33183	33183	1004	1038	1373	0	64	65	86	0	84	2
SPGI	86	34556	32306	21160	13974	13974	2250	13396	20582	0	65	65	86	0	84	2
SPY	86	34556	34457	34419	34355	34355	144	182	202	0	9	47	67	0	84	2
TFC	86	34556	32926	21296	14251	14251	1630	13260	20305	0	65	65	86	0	84	2
TGT	86	34556	33516	33423	33032	33032	1040	1133	1524	0	65	65	86	0	84	2
TSLA	86	34556	33732	33539	33215	33215	824	1017	1341	0	64	65	86	0	84	2
UBER	86	34556	33558	33508	33170	33170	998	1048	1386	0	63	65	86	0	84	2
UNH	86	34556	33572	33519	33185	33185	984	1037	1371	0	64	65	86	0	84	2
UPST	86	34556	33516	33022	32396	32396	1040	1534	2160	0	65	65	86	0	84	2
USB	86	34556	33512	27993	23036	23036	1044	6563	11520	0	64	65	86	0	84	2
V	86	34556	33558	33336	32918	32918	998	1220	1638	0	63	65	86	0	84	2
VLO	86	34556	33532	29772	26751	26751	1024	4784	7805	0	64	65	86	0	84	2
WFC	86	34556	33516	33157	32576	32576	1040	1399	1980	0	65	65	86	0	84	2
WMT	86	34556	33562	33519	33184	33184	994	1037	1372	0	64	65	86	0	84	2
XOM	86	34556	33532	33441	33006	33006	1024	1115	1550	0	64	65	86	0	84	2
