symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
NOC	1	406	390	406	406	113	113	0	0	277	277	0	0	0	0	0	1	0	1	1	1	1	1	0
NOW	1	406	390	406	406	353	353	0	0	37	37	0	0	0	0	0	1	0	1	1	1	1	1	0
NVDA	1	406	390	406	391	391	391	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
ORCL	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
OXY	1	406	390	406	406	388	388	0	0	2	2	0	0	0	0	0	1	0	1	1	1	1	1	0
PEP	1	406	390	406	406	379	379	0	0	11	11	0	0	0	0	0	1	0	1	1	1	1	1	0
PFE	1	406	390	406	406	388	388	0	0	2	2	0	0	0	0	0	1	0	1	1	1	1	1	0
PG	1	406	390	406	406	380	380	0	0	10	10	0	0	0	0	0	1	0	1	1	1	1	1	0
PLTR	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
PM	1	406	390	406	406	313	313	0	0	77	77	0	0	0	0	0	1	0	1	1	1	1	1	0
PNC	1	406	390	406	406	259	259	0	0	131	131	0	0	0	0	0	1	0	1	1	1	1	1	0
PSX	1	406	390	406	406	225	225	0	0	165	165	0	0	0	0	0	1	0	1	1	1	1	1	0
PYPL	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
QCOM	1	406	390	406	406	389	389	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
QQQ	1	406	390	406	405	405	405	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
RBLX	1	406	390	406	406	367	367	0	0	23	23	0	0	0	0	0	1	0	1	1	1	1	1	0
RF	1	406	390	406	406	133	133	0	0	257	257	0	0	0	0	0	1	0	1	1	1	1	1	0
RTX	1	406	390	406	406	342	342	0	0	48	48	0	0	0	0	0	1	0	1	1	1	1	1	0
SBUX	1	406	390	406	406	387	387	0	0	3	3	0	0	0	0	0	1	0	1	1	1	1	1	0
SCHW	1	406	390	406	406	323	323	0	0	67	67	0	0	0	0	0	1	0	1	1	1	1	1	0
SHOP	1	406	390	406	406	388	388	0	0	2	2	0	0	0	0	0	1	0	1	1	1	1	1	0
SLB	1	406	390	406	406	379	379	0	0	11	11	0	0	0	0	0	1	0	1	1	1	1	1	0
SNOW	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
SOFI	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
SPGI	1	406	390	406	406	127	127	0	0	263	263	0	0	0	0	0	1	0	1	1	1	1	1	0
SPY	1	406	390	406	405	405	405	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
TFC	1	406	390	406	406	163	163	0	0	227	227	0	0	0	0	0	1	0	1	1	1	1	1	0
TGT	1	406	390	406	406	389	389	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
TSLA	1	406	390	406	391	391	391	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
UBER	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
UNH	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
UPST	1	406	390	406	406	385	385	0	0	5	5	0	0	0	0	0	1	0	1	1	1	1	1	0
USB	1	406	390	406	406	287	287	0	0	103	103	0	0	0	0	0	1	0	1	1	1	1	1	0
V	1	406	390	406	406	380	380	0	0	10	10	0	0	0	0	0	1	0	1	1	1	1	1	0
VLO	1	406	390	406	406	293	293	0	0	97	97	0	0	0	0	0	1	0	1	1	1	1	1	0
WFC	1	406	390	406	406	386	386	0	0	4	4	0	0	0	0	0	1	0	1	1	1	1	1	0
WMT	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
XOM	1	406	390	406	406	387	387	0	0	3	3	0	0	0	0	0	1	0	1	1	1	1	1	0
