dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-03	2025-12	MO	open	406	390	406	345	345	345	0	45	45	0
2025-12-03	2025-12	MPC	open	406	390	406	113	113	113	0	277	277	0
2025-12-03	2025-12	MRK	open	406	390	406	388	388	388	0	2	2	0
2025-12-03	2025-12	MS	open	406	390	406	379	379	379	0	11	11	0
2025-12-03	2025-12	NOC	open	406	390	406	113	113	113	0	277	277	0
2025-12-03	2025-12	NOW	open	406	390	406	353	353	353	0	37	37	0
2025-12-03	2025-12	OXY	open	406	390	406	388	388	388	0	2	2	0
2025-12-03	2025-12	PEP	open	406	390	406	379	379	379	0	11	11	0
2025-12-03	2025-12	PFE	open	406	390	406	388	388	388	0	2	2	0
2025-12-03	2025-12	PG	open	406	390	406	380	380	380	0	10	10	0
2025-12-03	2025-12	PM	open	406	390	406	313	313	313	0	77	77	0
2025-12-03	2025-12	PNC	open	406	390	406	259	259	259	0	131	131	0
2025-12-03	2025-12	PSX	open	406	390	406	225	225	225	0	165	165	0
2025-12-03	2025-12	QCOM	open	406	390	406	389	389	389	0	1	1	0
2025-12-03	2025-12	RBLX	open	406	390	406	367	367	367	0	23	23	0
2025-12-03	2025-12	RF	open	406	390	406	133	133	133	0	257	257	0
2025-12-03	2025-12	RTX	open	406	390	406	342	342	342	0	48	48	0
2025-12-03	2025-12	SBUX	open	406	390	406	387	387	387	0	3	3	0
2025-12-03	2025-12	SCHW	open	406	390	406	323	323	323	0	67	67	0
2025-12-03	2025-12	SHOP	open	406	390	406	388	388	388	0	2	2	0
2025-12-03	2025-12	SLB	open	406	390	406	379	379	379	0	11	11	0
2025-12-03	2025-12	SPGI	open	406	390	406	127	127	127	0	263	263	0
2025-12-03	2025-12	TFC	open	406	390	406	163	163	163	0	227	227	0
2025-12-03	2025-12	TGT	open	406	390	406	389	389	389	0	1	1	0
2025-12-03	2025-12	UPST	open	406	390	406	385	385	385	0	5	5	0
2025-12-03	2025-12	USB	open	406	390	406	287	287	287	0	103	103	0
2025-12-03	2025-12	V	open	406	390	406	380	380	380	0	10	10	0
2025-12-03	2025-12	VLO	open	406	390	406	293	293	293	0	97	97	0
2025-12-03	2025-12	WFC	open	406	390	406	386	386	386	0	4	4	0
2025-12-03	2025-12	XOM	open	406	390	406	387	387	387	0	3	3	0
2025-12-04	2025-12	ABBV	open	406	390	406	371	371	371	0	19	19	0
2025-12-04	2025-12	ABNB	open	406	390	406	355	355	355	0	35	35	0
2025-12-04	2025-12	AFRM	open	406	390	406	388	388	388	0	2	2	0
2025-12-04	2025-12	ALLY	open	406	390	406	302	302	302	0	88	88	0
2025-12-04	2025-12	AMGN	open	406	390	406	384	384	384	0	6	6	0
2025-12-04	2025-12	AXP	open	406	390	406	379	379	379	0	11	11	0
2025-12-04	2025-12	BLK	open	406	390	406	222	222	222	0	168	168	0
2025-12-04	2025-12	C	open	406	390	406	388	388	388	0	2	2	0
2025-12-04	2025-12	CAT	open	406	390	406	389	389	389	0	1	1	0
2025-12-04	2025-12	CL	open	406	390	406	211	211	211	0	179	179	0
2025-12-04	2025-12	CME	open	406	390	406	142	142	142	0	248	248	0
2025-12-04	2025-12	CMG	open	406	390	406	389	389	389	0	1	1	0
2025-12-04	2025-12	COP	open	406	390	406	370	370	370	0	20	20	0
2025-12-04	2025-12	CSCO	open	406	390	406	377	377	377	0	13	13	0
2025-12-04	2025-12	CVS	open	406	390	406	365	365	365	0	25	25	0
2025-12-04	2025-12	CVX	open	406	390	406	387	387	387	0	3	3	0
2025-12-04	2025-12	DE	open	406	390	406	313	313	313	0	77	77	0
2025-12-04	2025-12	DIS	open	406	390	406	386	386	386	0	4	4	0
2025-12-04	2025-12	EOG	open	406	390	406	246	246	246	0	144	144	0
2025-12-04	2025-12	ETN	open	406	390	406	242	242	242	0	148	148	0
2025-12-04	2025-12	GE	open	406	390	406	364	364	364	0	26	26	0
2025-12-04	2025-12	GILD	open	406	390	406	322	322	322	0	68	68	0
2025-12-04	2025-12	GIS	open	406	390	406	250	250	250	0	140	140	0
2025-12-04	2025-12	GS	open	406	390	406	389	389	389	0	1	1	0
