symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
TSLA	86	34556	33180	34034	33539	33215	33215	522	0	0	0	37	0	0	0	86	86	86	86	84	2
UBER	86	34556	33180	33948	33525	33170	33170	608	8	12	0	38	8	12	0	86	86	86	86	84	2
UNH	86	34556	33180	33984	33519	33185	33185	572	2	2	0	37	1	1	0	86	86	86	86	84	2
UPST	86	34556	33180	33580	33315	32396	32396	976	409	784	0	61	31	72	0	86	86	86	86	84	2
USB	86	34556	33180	33554	29739	23036	23036	1002	4001	10144	0	62	37	86	0	86	86	86	86	84	2
V	86	34556	33180	33654	33597	32918	32918	902	112	263	0	57	22	58	0	86	86	86	86	84	2
VLO	86	34556	33180	33564	31230	26751	26751	992	2510	6429	0	62	35	86	0	86	86	86	86	84	2
WFC	86	34556	33180	33548	33469	32576	32576	1008	255	604	0	63	35	83	0	86	86	86	86	84	2
WMT	86	34556	33180	33964	33519	33184	33184	592	0	0	0	37	0	0	0	86	86	86	86	84	2
XOM	86	34556	33180	33692	33589	33006	33006	864	55	174	0	54	25	68	0	86	86	86	86	84	2
