dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-04	2025-11	DE	open	406	406	406	255	255	0	0	151	0
2025-11-04	2025-11	DIS	open	406	406	406	385	385	0	0	21	0
2025-11-04	2025-11	EOG	open	406	406	406	175	175	0	0	231	0
2025-11-04	2025-11	ETN	open	406	406	406	358	358	0	0	48	0
2025-11-04	2025-11	GE	open	406	406	406	347	347	0	0	59	0
2025-11-04	2025-11	GILD	open	406	406	406	336	336	0	0	70	0
2025-11-04	2025-11	GIS	open	406	406	406	242	242	0	0	164	0
2025-11-04	2025-11	GOOGL	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	GS	open	406	406	406	388	388	0	0	18	0
2025-11-04	2025-11	HAL	open	406	406	406	358	358	0	0	48	0
2025-11-04	2025-11	HD	open	406	406	406	383	383	0	0	23	0
2025-11-04	2025-11	HON	open	406	406	406	227	227	0	0	179	0
2025-11-04	2025-11	HOOD	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	ICE	open	406	406	406	123	123	0	0	283	0
2025-11-04	2025-11	INTC	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	JNJ	open	406	406	406	355	355	0	0	51	0
2025-11-04	2025-11	JPM	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	KEY	open	406	406	406	176	176	0	0	230	0
2025-11-04	2025-11	KHC	open	406	406	406	320	320	0	0	86	0
2025-11-04	2025-11	KO	open	406	406	406	387	387	0	0	19	0
2025-11-04	2025-11	LLY	open	406	406	406	389	389	0	0	17	0
2025-11-04	2025-11	LMT	open	406	406	406	298	298	0	0	108	0
2025-11-04	2025-11	LOW	open	406	406	406	264	264	0	0	142	0
2025-11-04	2025-11	MA	open	406	406	406	359	359	0	0	47	0
2025-11-04	2025-11	MCD	open	406	406	406	388	388	0	0	18	0
2025-11-04	2025-11	META	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	MMM	open	406	406	406	317	317	0	0	89	0
2025-11-04	2025-11	MO	open	406	406	406	364	364	0	0	42	0
2025-11-04	2025-11	MPC	open	406	406	406	216	216	0	0	190	0
2025-11-04	2025-11	MRK	open	406	406	406	376	376	0	0	30	0
2025-11-04	2025-11	MS	open	406	406	406	347	347	0	0	59	0
2025-11-04	2025-11	MSFT	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	MU	open	406	406	406	390	390	0	0	16	0
2025-11-04	2025-11	NFLX	open	406	406	406	390	390	0	0	16	0
