symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
SOFI	23	9338	8970	9338	8970	8966	1951	0	0	6	6	0	0	0	0	0	1	0	23	23	23	5	23	0
SPGI	23	9338	8970	9338	8970	4566	1041	0	0	4404	4404	0	0	0	0	0	23	0	23	23	23	5	23	0
SPY	23	9338	8970	9338	8970	9311	2025	0	0	0	0	0	0	0	0	0	0	0	23	23	23	5	23	0
TFC	23	9338	8970	9338	8970	5219	766	0	0	3751	3751	0	0	0	0	0	23	0	23	23	23	4	23	0
TGT	23	9338	8970	9338	8970	8929	1945	0	0	41	41	0	0	0	0	0	13	0	23	23	23	5	23	0
TSLA	23	9338	8970	9338	8970	8982	1953	0	0	4	4	0	0	0	0	0	1	0	23	23	23	4	23	0
UBER	23	9338	8970	9338	8970	8963	1560	0	0	7	7	0	0	0	0	0	1	0	23	23	23	4	23	0
UNH	23	9338	8970	9338	8970	8969	1952	0	0	5	5	0	0	0	0	0	1	0	23	23	23	5	23	0
UPST	23	9338	8970	9338	8970	8952	1168	0	0	18	18	0	0	0	0	0	10	0	23	23	23	3	23	0
USB	23	9338	8970	9338	8970	6454	775	0	0	2516	2516	0	0	0	0	0	23	0	23	23	23	3	23	0
V	23	9338	8970	9338	8970	8877	1556	0	0	93	93	0	0	0	0	0	16	0	23	23	23	4	23	0
VLO	23	9338	8970	9338	8970	6917	1072	0	0	2053	2053	0	0	0	0	0	23	0	23	23	23	3	23	0
WFC	23	9338	8970	9338	8970	8875	1935	0	0	95	95	0	0	0	0	0	21	0	23	23	23	5	23	0
WMT	23	9338	8970	9338	8970	8964	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
XOM	23	9338	8970	9338	8970	8911	1549	0	0	59	59	0	0	0	0	0	19	0	23	23	23	4	23	0
