symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
PG	86	34556	33180	33554	34058	32496	32496	1002	50	684	634	50	0	63	11	11	70	0	86	86	86	86	84	2
PLTR	86	34556	33180	34000	33529	33187	33187	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	33564	33581	27233	27233	992	607	5947	5340	607	0	62	10	10	76	0	86	86	86	86	84	2
PNC	86	34556	33180	33384	32617	20135	20135	1172	1587	13045	11458	1587	0	62	11	11	77	0	86	86	86	86	84	2
PSX	86	34556	33180	33474	32929	20304	20304	1082	1275	12876	11601	1275	0	62	10	10	77	0	86	86	86	86	84	2
PYPL	86	34556	33180	33980	33516	33176	33176	576	0	5	5	0	0	36	0	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	33724	33856	33062	33062	832	12	118	106	12	0	52	3	3	38	0	86	86	86	86	84	2
QQQ	86	34556	33180	34129	34086	33914	33914	498	380	434	54	380	0	8	1	1	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	33596	34062	32478	32478	960	46	702	656	46	0	60	10	10	67	0	86	86	86	86	84	2
RF	86	34556	33180	30834	30073	9220	9220	3722	4099	23960	19861	4099	0	62	21	21	73	0	86	86	86	86	84	2
RTX	86	34556	33180	33548	34178	30243	30243	1008	90	2937	2847	90	0	63	7	7	74	0	86	86	86	86	84	2
SBUX	86	34556	33180	33676	33994	32885	32885	880	18	295	277	18	0	55	5	5	55	0	86	86	86	86	84	2
SCHW	86	34556	33180	33580	33600	29669	29669	976	524	3511	2987	524	0	61	13	13	70	0	86	86	86	86	84	2
SHOP	86	34556	33180	33644	33885	32992	32992	912	31	189	158	31	0	57	5	5	41	0	86	86	86	86	84	2
SLB	86	34556	33180	33580	34052	31281	31281	976	120	1899	1779	120	0	61	6	6	77	0	86	86	86	86	84	2
SNOW	86	34556	33180	33724	33923	33015	33015	832	9	165	156	9	0	52	5	5	45	0	86	86	86	86	84	2
SOFI	86	34556	33180	34000	33518	33183	33183	556	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
SPGI	86	34556	33180	32368	30879	13974	13974	2188	3261	19206	15945	3261	0	63	16	16	72	0	86	86	86	86	84	2
SPY	86	34556	33180	34457	34419	34355	34355	144	0	0	0	0	0	9	0	0	0	0	86	86	86	86	84	2
TFC	86	34556	33180	32968	31072	14251	14251	1588	3132	18929	15797	3132	0	63	18	18	74	0	86	86	86	86	84	2
TGT	86	34556	33180	33724	33944	33032	33032	832	4	149	145	4	0	52	3	3	46	0	86	86	86	86	84	2
TSLA	86	34556	33180	34034	33539	33215	33215	522	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
UBER	86	34556	33180	33948	33610	33170	33170	608	3	12	9	3	0	38	3	3	9	0	86	86	86	86	84	2
UNH	86	34556	33180	33984	33537	33185	33185	572	0	2	2	0	0	37	0	0	1	0	86	86	86	86	84	2
UPST	86	34556	33180	33580	34039	32396	32396	976	85	784	699	85	0	61	6	6	66	0	86	86	86	86	84	2
USB	86	34556	33180	33554	32663	23036	23036	1002	1477	10144	8667	1477	0	62	12	12	74	0	86	86	86	86	84	2
V	86	34556	33180	33654	33936	32918	32918	902	29	263	234	29	0	57	6	6	52	0	86	86	86	86	84	2
VLO	86	34556	33180	33564	33419	26751	26751	992	705	6429	5724	705	0	62	11	11	75	0	86	86	86	86	84	2
WFC	86	34556	33180	33548	34140	32576	32576	1008	48	604	556	48	0	63	6	6	77	0	86	86	86	86	84	2
WMT	86	34556	33180	33964	33519	33184	33184	592	0	0	0	0	0	37	0	0	0	0	86	86	86	86	84	2
XOM	86	34556	33180	33692	33880	33006	33006	864	20	174	154	20	0	54	9	9	59	0	86	86	86	86	84	2
