symbol	month	scope_symbol_days	expected_1m_slots_calendar	early_close_days_in_scope	full_close_days_in_scope	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
CRM	2025-12-01	21	8526	0	0	8176	95.89	8176	95.89	8526	100	8176	95.89	100	272464	146317	8526	261955
CSCO	2025-12-01	21	8526	0	0	8074	94.7	8074	94.7	8526	100	8074	94.7	100	105583	57773	8526	94954
CVS	2025-12-01	21	8526	0	0	7302	85.64	7302	85.64	8526	100	7302	85.64	100	55244	31327	8526	51581
CVX	2025-12-01	21	8526	0	0	8089	94.87	8089	94.87	8526	100	8089	94.87	100	109418	61563	8526	99720
DE	2025-12-01	21	8526	0	0	6433	75.45	6433	75.45	8526	100	6433	75.45	100	31037	20771	8526	30036
DIS	2025-12-01	21	8526	0	0	8149	95.58	8149	95.58	8526	100	8149	95.58	100	152347	84350	8526	141363
EOG	2025-12-01	21	8526	0	0	5114	59.98	5114	59.98	8526	100	5114	59.98	100	18019	11494	8526	16890
ETN	2025-12-01	21	8526	0	0	5696	66.81	5696	66.81	8526	100	5696	66.81	100	24131	15209	8526	22377
GE	2025-12-01	21	8526	0	0	7729	90.65	7729	90.65	8526	100	7729	90.65	100	66412	45373	8526	60682
GILD	2025-12-01	21	8526	0	0	6519	76.46	6519	76.46	8526	100	6519	76.46	100	32903	20630	8526	30788
GIS	2025-12-01	21	8526	0	0	6083	71.35	6083	71.35	8526	100	6083	71.35	100	27713	16197	8526	25022
GOOGL	2025-12-01	21	8526	0	0	8193	96.09	8193	96.09	8526	100	8193	96.09	100	1284564	499280	8526	1180197
GS	2025-12-01	21	8526	0	0	8181	95.95	8181	95.95	8526	100	8181	95.95	100	256312	144352	8526	222944
HAL	2025-12-01	21	8526	0	0	6661	78.13	6661	78.13	8526	100	6661	78.13	100	36082	21145	8526	33089
HD	2025-12-01	21	8526	0	0	8062	94.56	8062	94.56	8526	100	8062	94.56	100	103234	67548	8526	92330
HON	2025-12-01	21	8526	0	0	5320	62.4	5320	62.4	8526	100	5320	62.4	100	17882	11613	8526	16023
HOOD	2025-12-01	21	8526	0	0	8190	96.06	8190	96.06	8526	100	8190	96.06	100	1057378	535797	8526	954296
ICE	2025-12-01	21	8526	0	0	1582	18.56	1582	18.56	8526	100	1582	18.56	100	3235	2237	8526	3168
INTC	2025-12-01	21	8526	0	0	8190	96.06	8190	96.06	8526	100	8190	96.06	100	828866	369757	8526	774762
JNJ	2025-12-01	21	8526	0	0	7955	93.3	7955	93.3	8526	100	7955	93.3	100	79592	46747	8526	71447
JPM	2025-12-01	21	8526	0	0	8184	95.99	8184	95.99	8526	100	8184	95.99	100	268298	146853	8526	240103
KEY	2025-12-01	21	8526	0	0	4467	52.39	4467	52.39	8526	100	4467	52.39	100	16019	9483	8526	14477
KHC	2025-12-01	21	8526	0	0	6990	81.98	6990	81.98	8526	100	6990	81.98	100	34671	21467	8526	31967
KO	2025-12-01	21	8526	0	0	8133	95.39	8133	95.39	8526	100	8133	95.39	100	132680	67279	8526	118216
LLY	2025-12-01	21	8526	0	0	8187	96.02	8187	96.02	8526	100	8187	96.02	100	314671	187996	8526	290657
LMT	2025-12-01	21	8526	0	0	7161	83.99	7161	83.99	8526	100	7161	83.99	100	43189	30918	8526	38862
LOW	2025-12-01	21	8526	0	0	5723	67.12	5723	67.12	8526	100	5723	67.12	100	22312	14769	8526	20986
MA	2025-12-01	21	8526	0	0	7625	89.43	7625	89.43	8526	100	7625	89.43	100	72733	42808	8526	66829
MCD	2025-12-01	21	8526	0	0	7902	92.68	7902	92.68	8526	100	7902	92.68	100	76971	49830	8526	73359
META	2025-12-01	21	8526	0	0	8192	96.08	8192	96.08	8526	100	8192	96.08	100	2073697	775987	8526	1806261
MMM	2025-12-01	21	8526	0	0	6277	73.62	6277	73.62	8526	100	6277	73.62	100	30085	19173	8526	27822
MO	2025-12-01	21	8526	0	0	7532	88.34	7532	88.34	8526	100	7532	88.34	100	49446	30445	8526	46602
MPC	2025-12-01	21	8526	0	0	3322	38.96	3322	38.96	8526	100	3322	38.96	100	8853	6219	8526	8297
MRK	2025-12-01	21	8526	0	0	8112	95.14	8112	95.14	8526	100	8112	95.14	100	118849	65974	8526	113600
MS	2025-12-01	21	8526	0	0	7586	88.97	7586	88.97	8526	100	7586	88.97	100	58341	35570	8526	49945
