symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
INTC	86	34556	0	34556	33558	33183	33183	0	0	0	0	0	0	0	0	84	2
JNJ	86	34556	0	34556	33189	32609	32609	0	0	0	0	0	0	0	0	84	2
JPM	86	34556	0	34556	33568	33171	33171	0	0	0	0	0	0	0	0	84	2
KEY	86	34556	0	34556	20738	14832	14832	0	0	0	0	0	0	0	0	84	2
KHC	86	34556	0	34556	31248	29454	29454	0	0	0	0	0	0	0	0	84	2
KO	86	34556	0	34556	33469	33029	33029	0	0	0	0	0	0	0	0	84	2
LLY	86	34556	0	34556	33535	33163	33163	0	0	0	0	0	0	0	0	84	2
LMT	86	34556	0	34556	32000	30582	30582	0	0	0	0	0	0	0	0	84	2
LOW	86	34556	0	34556	28892	26262	26262	0	0	0	0	0	0	0	0	84	2
MA	86	34556	0	34556	32513	31351	31351	0	0	0	0	0	0	0	0	84	2
MCD	86	34556	0	34556	32860	32062	32062	0	0	0	0	0	0	0	0	84	2
META	86	34556	0	34556	33578	33187	33187	0	0	0	0	0	0	0	0	84	2
MMM	86	34556	0	34556	29076	26425	26425	0	0	0	0	0	0	0	0	84	2
MO	86	34556	0	34556	32494	31244	31244	0	0	0	0	0	0	0	0	84	2
MPC	86	34556	0	34556	22765	15905	15905	0	0	0	0	0	0	0	0	84	2
MRK	86	34556	0	34556	33314	32834	32834	0	0	0	0	0	0	0	0	84	2
MS	86	34556	0	34556	32408	31043	31043	0	0	0	0	0	0	0	0	84	2
MSFT	86	34556	0	34556	33591	33188	33188	0	0	0	0	0	0	0	0	84	2
MU	86	34556	0	34556	33521	33186	33186	0	0	0	0	0	0	0	0	84	2
NFLX	86	34556	0	34556	33600	33191	33191	0	0	0	0	0	0	0	0	84	2
NKE	86	34556	0	34556	33543	33168	33168	0	0	0	0	0	0	0	0	84	2
NOC	86	34556	0	34556	21892	13818	13818	0	0	0	0	0	0	0	0	84	2
NOW	86	34556	0	34556	32977	32123	32123	0	0	0	0	0	0	0	0	84	2
NVDA	86	34556	0	34556	33580	33208	33208	0	0	0	0	0	0	0	0	84	2
ORCL	86	34556	0	34556	33492	33061	33061	0	0	0	0	0	0	0	0	84	2
OXY	86	34556	0	34556	33383	32853	32853	0	0	0	0	0	0	0	0	84	2
PEP	86	34556	0	34556	33114	32428	32428	0	0	0	0	0	0	0	0	84	2
PFE	86	34556	0	34556	33480	33085	33085	0	0	0	0	0	0	0	0	84	2
PG	86	34556	0	34556	33242	32496	32496	0	0	0	0	0	0	0	0	84	2
PLTR	86	34556	0	34556	33577	33187	33187	0	0	0	0	0	0	0	0	84	2
PM	86	34556	0	34556	29989	27233	27233	0	0	0	0	0	0	0	0	84	2
PNC	86	34556	0	34556	25181	20135	20135	0	0	0	0	0	0	0	0	84	2
PSX	86	34556	0	34556	25430	20304	20304	0	0	0	0	0	0	0	0	84	2
PYPL	86	34556	0	34556	33557	33176	33176	0	0	0	0	0	0	0	0	84	2
QCOM	86	34556	0	34556	33496	33062	33062	0	0	0	0	0	0	0	0	84	2
QQQ	86	34556	0	34782	36055	33914	33914	0	0	0	0	0	0	0	0	84	2
RBLX	86	34556	0	34556	33119	32478	32478	0	0	0	0	0	0	0	0	84	2
RF	86	34556	0	34556	18890	9220	9220	0	0	0	0	0	0	0	0	84	2
RTX	86	34556	0	34556	31901	30243	30243	0	0	0	0	0	0	0	0	84	2
SBUX	86	34556	0	34556	33393	32885	32885	0	0	0	0	0	0	0	0	84	2
SCHW	86	34556	0	34556	31328	29669	29669	0	0	0	0	0	0	0	0	84	2
SHOP	86	34556	0	34556	33416	32992	32992	0	0	0	0	0	0	0	0	84	2
SLB	86	34556	0	34556	32499	31281	31281	0	0	0	0	0	0	0	0	84	2
SNOW	86	34556	0	34556	33457	33015	33015	0	0	0	0	0	0	0	0	84	2
SOFI	86	34556	0	34556	33556	33183	33183	0	0	0	0	0	0	0	0	84	2
SPGI	86	34556	0	34556	21232	13974	13974	0	0	0	0	0	0	0	0	84	2
SPY	86	34556	0	34694	35732	34355	34355	0	0	0	0	0	0	0	0	84	2
TFC	86	34556	0	34556	21471	14251	14251	0	0	0	0	0	0	0	0	84	2
TGT	86	34556	0	34556	33466	33032	33032	0	0	0	0	0	0	0	0	84	2
TSLA	86	34556	0	34556	33569	33215	33215	0	0	0	0	0	0	0	0	84	2
UBER	86	34556	0	34556	33534	33170	33170	0	0	0	0	0	0	0	0	84	2
UNH	86	34556	0	34556	33562	33185	33185	0	0	0	0	0	0	0	0	84	2
UPST	86	34556	0	34556	33084	32396	32396	0	0	0	0	0	0	0	0	84	2
USB	86	34556	0	34556	28037	23036	23036	0	0	0	0	0	0	0	0	84	2
V	86	34556	0	34556	33354	32918	32918	0	0	0	0	0	0	0	0	84	2
VLO	86	34556	0	34556	29818	26751	26751	0	0	0	0	0	0	0	0	84	2
WFC	86	34556	0	34556	33187	32576	32576	0	0	0	0	0	0	0	0	84	2
WMT	86	34556	0	34556	33543	33184	33184	0	0	0	0	0	0	0	0	84	2
XOM	86	34556	0	34556	33475	33006	33006	0	0	0	0	0	0	0	0	84	2
