ef.symbol	expected_symbol_days	expected_1m_slots_fixed_406	expected_1m_slots_market	trade_1m_slots	trade_slot_cov_pct_vs_market	quote_1m_slots	quote_slot_cov_pct_vs_market	stock_1m_slots	stock_slot_cov_pct_vs_market	enrich_1m_slots	enrich_slot_cov_pct_vs_market	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
TSLA	84	34104	33972	32403	95.38	32711	96.29	33683	99.15	32403	95.38	100	38297838	83072970	33683	30510079
UBER	84	34104	33972	32361	95.26	32676	96.19	33668	99.11	32361	95.26	100	1269367	15665929	33668	962843
UNH	84	34104	33972	32375	95.3	32704	96.27	33683	99.15	32375	95.3	100	2337667	33002216	33683	1512161
UPST	84	34104	33972	31595	93	32226	94.86	33698	99.19	31595	93	100	424664	15651307	33698	349728
USB	84	34104	33972	22436	66.04	27179	80	33683	99.15	22436	66.04	100	100622	10058935	33683	76957
V	84	34104	33972	32110	94.52	32496	95.66	33668	99.11	32110	94.52	100	587373	34097083	33668	410617
VLO	84	34104	33972	26051	76.68	28960	85.25	33683	99.15	26051	76.68	100	153440	15721734	33683	123618
WFC	84	34104	33972	31773	93.53	32329	95.16	33698	99.19	31773	93.53	100	615717	17776562	33698	434717
WMT	84	34104	33972	32374	95.3	32685	96.21	33683	99.15	32374	95.3	100	1607598	13927801	33683	1279060
XOM	84	34104	33972	32204	94.8	32617	96.01	33683	99.15	32204	94.8	100	1293175	19650667	33683	936306
