s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-05	COP	406	406	406	354	354
2025-11-05	COST	406	406	406	390	390
2025-11-05	CRM	406	406	406	390	390
2025-11-05	CSCO	406	406	406	384	384
2025-11-05	CVS	406	406	406	353	353
2025-11-05	CVX	406	406	406	379	379
2025-11-05	DE	406	406	406	271	271
2025-11-05	DIS	406	406	406	387	387
2025-11-05	EOG	406	406	406	178	178
2025-11-05	ETN	406	406	406	319	319
2025-11-05	GE	406	406	406	360	360
2025-11-05	GILD	406	406	406	313	313
2025-11-05	GIS	406	406	406	250	250
2025-11-05	GOOGL	406	406	406	390	390
2025-11-05	GS	406	406	406	388	388
2025-11-05	HAL	406	406	406	320	320
2025-11-05	HD	406	406	406	389	389
2025-11-05	HON	406	406	406	261	261
2025-11-05	HOOD	406	406	406	391	391
2025-11-05	ICE	406	406	406	136	136
2025-11-05	INTC	406	406	406	390	390
2025-11-05	JNJ	406	406	406	360	360
2025-11-05	JPM	406	406	406	390	390
2025-11-05	KEY	406	406	406	153	153
2025-11-05	KHC	406	406	406	310	310
2025-11-05	KO	406	406	406	386	386
2025-11-05	LLY	406	406	406	389	389
2025-11-05	LMT	406	406	406	364	364
2025-11-05	LOW	406	406	406	325	325
2025-11-05	MA	406	406	406	336	336
2025-11-05	MCD	406	406	406	388	388
2025-11-05	META	406	406	406	390	390
2025-11-05	MMM	406	406	406	299	299
2025-11-05	MO	406	406	406	348	348
2025-11-05	MPC	406	406	406	147	147
2025-11-05	MRK	406	406	406	376	376
2025-11-05	MS	406	406	406	332	332
2025-11-05	MSFT	406	406	406	390	390
2025-11-05	MU	406	406	406	390	390
2025-11-05	NFLX	406	406	406	390	390
2025-11-05	NKE	406	406	406	390	390
2025-11-05	NOC	406	406	406	87	87
2025-11-05	NOW	406	406	406	371	371
2025-11-05	NVDA	406	406	406	391	391
2025-11-05	ORCL	406	406	406	390	390
2025-11-05	OXY	406	406	406	378	378
2025-11-05	PEP	406	406	406	373	373
2025-11-05	PFE	406	406	406	390	390
2025-11-05	PG	406	406	406	377	377
2025-11-05	PLTR	406	406	406	390	390
2025-11-05	PM	406	406	406	310	310
2025-11-05	PNC	406	406	406	235	235
2025-11-05	PSX	406	406	406	174	174
2025-11-05	PYPL	406	406	406	390	390
2025-11-05	QCOM	406	406	406	390	390
2025-11-05	QQQ	406	406	406	405	405
2025-11-05	RBLX	406	406	406	382	382
2025-11-05	RF	406	406	406	66	66
2025-11-05	RTX	406	406	406	302	302
2025-11-05	SBUX	406	406	406	390	390
2025-11-05	SCHW	406	406	406	302	302
2025-11-05	SHOP	406	406	406	390	390
2025-11-05	SLB	406	406	406	349	349
2025-11-05	SNOW	406	406	406	384	384
2025-11-05	SOFI	406	406	406	390	390
2025-11-05	SPGI	406	406	406	102	102
2025-11-05	SPY	406	406	406	406	406
2025-11-05	TFC	406	406	406	118	118
2025-11-05	TGT	406	406	406	389	389
2025-11-05	TSLA	406	406	406	390	390
2025-11-05	UBER	406	406	406	390	390
2025-11-05	UNH	406	406	406	390	390
2025-11-05	UPST	406	406	406	390	390
2025-11-05	USB	406	406	406	246	246
2025-11-05	V	406	406	406	390	390
2025-11-05	VLO	406	406	406	250	250
2025-11-05	WFC	406	406	406	383	383
2025-11-05	WMT	406	406	406	390	390
2025-11-05	XOM	406	406	406	384	384
2025-11-06	AAPL	406	406	406	390	390
2025-11-06	ABBV	406	406	406	355	355
2025-11-06	ABNB	406	406	406	391	391
2025-11-06	ADBE	406	406	406	390	390
2025-11-06	AFRM	406	406	406	390	390
2025-11-06	ALLY	406	406	406	129	129
2025-11-06	AMD	406	406	406	390	390
2025-11-06	AMGN	406	406	406	368	368
2025-11-06	AMZN	406	391	976	390	390
2025-11-06	AVGO	406	406	406	390	390
2025-11-06	AXP	406	406	406	358	358
2025-11-06	BA	406	406	406	390	390
2025-11-06	BAC	406	406	406	390	390
2025-11-06	BLK	406	406	406	154	154
2025-11-06	BMY	406	406	406	380	380
2025-11-06	C	406	406	406	387	387
2025-11-06	CAT	406	406	406	385	385
