ticker,start,end,days,price_return_pct,total_distributions,distribution_return_pct,total_return_reinvested_pct,sharpe,sortino,calmar,cagr_pct,max_drawdown_pct,vol_ann_pct,SPY_total_return_reinvested_pct,SPY_sharpe,SPY_sortino,SPY_calmar,QQQ_total_return_reinvested_pct,QQQ_sharpe,QQQ_sortino,QQQ_calmar
WNTR,2025-03-27,2026-03-13,351,-33.97658691197131,29.423,58.777819308108484,53.005672639883514,1.1177067393202655,1.4085164306818565,1.4475802488758749,55.8674762461008,-38.59369889129459,52.20315837987734,17.806604490542878,0.9949339493033814,1.2563851746637598,1.5474336228886758,23.716311576873906,1.0944892085476952,1.4582367444543085,1.9705941084253265
YMAG,2024-01-30,2026-03-13,772,-37.46858277202178,15.083,75.81683262569169,50.574563774449224,1.0252773168005453,1.3378901957931806,0.8243691021837318,21.3967984241171,-25.955361945805045,21.121459943529263,38.25144326209915,1.0279119959828757,1.32148438283227,0.8842505513640556,41.142081170377764,0.89076366006257,1.18959740106419,0.7788381166518054
TSLY,2022-11-23,2026-03-13,1205,-84.30638636686545,187.731,93.67814656569877,48.248314513903814,0.492150316660017,0.6666467737904429,0.2564246396014225,12.69774377411872,-49.51842301057984,46.18018664095183,71.99469986129894,1.1549366812277753,1.5776681488738342,0.9542885855925242,109.77484185491484,1.2291374644137119,1.7576932895354191,1.107879346587859
SOXY,2024-12-03,2026-03-13,464,25.32344140943925,8.165,16.297079332771773,45.95906443327584,1.0607480906002376,1.3808503774110565,1.150109771282954,34.75909833481676,-30.222418070618417,33.50032672209599,11.328288675312503,0.5556269685182144,0.7175740562822617,0.47103441780268623,15.637066692724355,0.6244438895002454,0.8355259323114005,0.5333702364897406
AMDY,2023-09-19,2026-03-13,906,-70.07850467075801,98.012,98.01689815279313,41.846208323450696,0.5410069076354773,0.7269018298580274,0.28097108225201334,15.152214487355774,-53.92802122520636,43.90016957321183,53.918842292166744,1.1936414960006065,1.546978172650662,1.0136693474789318,62.70383018133079,1.0818539095707709,1.448915145597528,0.9534204613963996
CONY,2023-08-15,2026-03-13,941,-84.87730821519641,329.879,166.90058699054055,40.68359565417781,0.5212287178623026,0.7946552736597079,0.22312529347552457,14.183156994640811,-63.565886115894855,60.419446666945916,54.39897152337765,1.1693197844496248,1.524030769821924,0.9803137376356977,64.47345795375404,1.071636298895896,1.4420011073758086,0.936813751523808
BABO,2024-08-08,2026-03-13,582,-45.39667200356885,16.054,78.61900068569275,35.51065303248502,0.705636382227628,1.0457252473048924,0.7193820516391403,21.05036129508211,-29.261727126939064,36.79109790787257,27.08655633249135,0.9661203507827774,1.2327882897818019,0.8671388340414283,33.58028443136283,0.9574691273727483,1.263450550824319,0.8768082261762274
OARK,2022-11-25,2026-03-13,1203,-68.38151729224019,82.168,82.08591533719448,32.601386460613035,0.43346347918157313,0.6057719282714672,0.2527812697507365,8.968398283184564,-35.478887704093566,30.98148918167205,72.03317552864412,1.1560872323918236,1.5798840041360824,0.9573050495256841,111.16401694303568,1.2401842232515445,1.7719354529159073,1.122040208558109
SNOY,2024-06-11,2026-03-13,640,-54.761666468201085,17.246000000000002,85.45238667142985,29.55944303846463,0.5537706826905219,0.7610053754749697,0.40290600394812703,15.954310913820446,-39.59809672102706,43.5893483632231,26.00064701710252,0.8618753501819094,1.0959640307497969,0.753009818265609,28.08952604478303,0.7630872029037499,1.0037029135227318,0.6676165522887366
JPO,2023-09-12,2026-03-13,913,-32.611319540950504,11.65,58.090250923573294,29.276039147082344,0.636647130915332,0.6834892822446145,0.4368146547616123,10.831252270491376,-24.795991051175783,19.103455085366765,53.325780292129735,1.1769516383901095,1.5254358369080891,0.9954077044658391,61.663059892395886,1.0629255404602007,1.4226891423819321,0.9316659370941051
