HorizonYears,Mode,PersonId,Person,FundsUsed,AssignmentsUsed,Start,End,TradingDays,Calmar,AnnualizedReturn,MaxDrawdown,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
1,full,PM::Seth Lancaster,Seth Lancaster,1,1,2025-03-13,2026-03-13,251,0.63272573910182,0.16599978727768772,-0.2623566215487475,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Jason England,Jason England,1,1,2025-03-13,2026-03-13,251,0.6171151118948958,0.03347902925270185,-0.05425086601736606,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Shailesh Gupta,Shailesh Gupta,1,1,2025-03-13,2026-03-13,251,0.6171151118948901,0.03347902925270141,-0.05425086601736584,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Jacob Hemmer,Jacob Hemmer,1,1,2025-03-13,2026-03-13,251,0.4056548078659015,0.05410389761385903,-0.13337422992344838,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Vlasta Sheremeta,Vlasta Sheremeta,1,1,2025-03-13,2026-03-13,251,0.3503147575037336,0.03305309460039796,-0.09435256121074398,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Peter simasek,Peter simasek,1,1,2025-03-13,2026-03-13,251,0.1197123124564858,0.010982285560766636,-0.09173898102384903,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::David C. Pursell,David C. Pursell,1,1,2025-03-13,2026-03-13,251,0.11971231245647268,0.010982285560765526,-0.09173898102384981,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::David P. Kalis,David P. Kalis,1,1,2025-03-13,2026-03-13,251,-0.06361599432835054,-0.005744717163202906,-0.09030303186887023,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Gary D. Black,Gary D. Black,1,1,2025-03-13,2026-03-13,251,-0.06361599432835054,-0.005744717163202906,-0.09030303186887023,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::David Berns,David Berns,4,4,2025-03-13,2026-03-13,251,-0.6975915622160387,-0.06280815070965928,-0.09003570873210776,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Josh Belko,Josh Belko,1,1,2025-03-13,2026-03-13,251,-0.8078509139454515,-0.28222654228024147,-0.3493547353952715,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Philip Lee,Philip Lee,1,1,2025-03-13,2026-03-13,251,-0.807850913945454,-0.2822265422802429,-0.3493547353952722,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::William H. DeRoche,William H. DeRoche,1,1,2025-03-13,2026-03-13,251,-0.807850913945455,-0.28222654228024135,-0.34935473539526984,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::David Jackson,David Jackson,1,1,2025-03-13,2026-03-13,251,-0.9091391614485864,-0.42227679192068535,-0.46447981764182966,1.5746147767076384,1.7556156393827367,False,False,False
1,full,PM::Paisley Nardini,Paisley Nardini,1,1,2025-03-13,2026-03-13,251,-0.9091391614485899,-0.42227679192068646,-0.4644798176418291,1.5746147767076384,1.7556156393827367,False,False,False
1,partial,PM::Matt Brandt,Matt Brandt,2,2,2025-12-24,2026-03-13,53,31.826049957074286,1.1886494382936341,-0.037348318119805546,-3.75446531910088,-3.369729315791956,True,True,True
1,partial,PM::Giuliana Bordigoni,Giuliana Bordigoni,1,1,2025-08-14,2026-03-13,145,9.008745160661103,0.5824015894854542,-0.06464846980339212,1.136746778714816,0.5869222455047146,True,True,True
1,partial,PM::Tansu Demirbilek,Tansu Demirbilek,1,1,2025-09-17,2026-03-13,122,6.031534761444448,0.2331149063828546,-0.03864935138449366,0.4292575596679662,0.23094496560856312,True,True,True
1,partial,PM::Matthew Osowiecki,Matthew Osowiecki,1,1,2025-09-29,2026-03-13,114,2.1625141712979707,0.07232141644221324,-0.03344321040856113,0.0372566623108071,-0.19803697576215104,True,True,True
1,partial,PM::Jeff Greco,Jeff Greco,1,1,2025-07-21,2026-03-13,163,2.057802045784773,0.08432610165554766,-0.040978723793322236,1.8384068769938973,1.0942055529515975,True,True,True
1,partial,PM::Rebekah Lipp,Rebekah Lipp,1,1,2025-07-21,2026-03-13,163,2.057802045784773,0.08432610165554766,-0.040978723793322236,1.8384068769938973,1.0942055529515975,True,True,True
1,partial,PM::Scott Snyder,Scott Snyder,6,6,2025-11-26,2026-03-13,72,0.7928449309119435,0.06904763543139203,-0.08708844912708502,-1.6181041055290317,-1.7355998448081817,True,True,True
1,partial,PM::Kyler Kring,Kyler Kring,1,1,2025-09-03,2026-03-13,132,0.0012854397156187836,5.5316028507057524e-05,-0.04303276756967911,1.327501657362729,1.0881788810875557,False,False,False
