Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerEquity,1,full,STEP,StepStone Group Inc.,,StepStone Group,2025-03-13,2026-03-13,251,-0.09637167849167827,-0.43098654762671496,-0.22360716134264932,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,TPG,TPG Inc.,,TPG,2025-03-13,2026-03-13,251,-0.09674393090192501,-0.4320497835771573,-0.22391848018284696,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,BX,Blackstone Inc.,,Blackstone,2025-03-13,2026-03-13,251,-0.19195749222010516,-0.44761631956581416,-0.42884381964961216,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,KKR,KKR & Co. Inc.,,KKR,2025-03-13,2026-03-13,251,-0.2051871506908024,-0.44616244630918744,-0.45989336930569263,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,ARES,Ares Management Corporation,,Ares Management,2025-03-13,2026-03-13,251,-0.2549449176104591,-0.4929705876434317,-0.5171605040965692,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,APO,"Apollo Global Management, Inc.",,Apollo Global Management,2025-03-13,2026-03-13,251,-0.1864780102084822,-0.3497224534107456,-0.5332171508858358,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,GCMG,GCM Grosvenor Inc.,,GCM Grosvenor,2025-03-13,2026-03-13,251,-0.1520669740594257,-0.24299646752160897,-0.6257991139147027,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,1,full,OWL,Blue Owl Capital Inc.,,Blue Owl Capital,2025-03-13,2026-03-13,251,-0.5004251076712628,-0.579011028518589,-0.8642756062032363,1.5746147767076384,1.7556154793354999,False,False,False
ManagerEquity,2,full,BHMG.L,BH Macro Limited,,Brevan Howard,2024-03-13,2026-03-13,506,0.1326836679462502,-0.10327455919395412,1.2847662481624782,0.7881154448457747,0.7412538228397494,True,True,True
ManagerEquity,2,full,AMG,"Affiliated Managers Group, Inc.",,Affiliated Managers Group,2024-03-13,2026-03-13,501,0.30189546712887716,-0.2697325681019155,1.1192399540525981,0.7881154448457747,0.7412538228397494,True,True,True
ManagerEquity,2,full,TFG.L,Tetragon Financial Group Limited,,Tetragon,2024-03-13,2026-03-13,506,0.2474271869690765,-0.25901213392199673,0.9552725705259464,0.7881154448457747,0.7412538228397494,True,True,True
ManagerEquity,2,full,AB,AllianceBernstein Holding L.P.,,AllianceBernstein,2024-03-13,2026-03-13,501,0.1552853007995212,-0.16617488202198683,0.9344691502713098,0.7881154448457747,0.7412538228397494,True,True,True
ManagerEquity,2,full,BN,Brookfield Corporation,,Brookfield Corporation,2024-03-13,2026-03-13,501,0.17791390409224284,-0.2784393051142695,0.6389683526154047,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,GCMG,GCM Grosvenor Inc.,,GCM Grosvenor,2024-03-13,2026-03-13,501,0.13154628962888593,-0.28841012064011506,0.45610843800114936,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,MNGPF,Man Group Plc,,Man Group,2024-03-13,2026-03-13,501,0.1760250548275577,-0.3915758828505219,0.44952986773895004,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,STEP,StepStone Group Inc.,,StepStone Group,2024-03-13,2026-03-13,501,0.18499493352179597,-0.4309865476267152,0.429235980891968,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,PSHZF,"Pershing Square Holdings, Ltd.",,Pershing Square,2024-03-13,2026-03-13,501,0.05657956060010538,-0.2566294341031006,0.22047182856419584,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,BAM,Brookfield Asset Management Ltd.,,Brookfield Asset Management,2024-03-13,2026-03-13,501,0.045802129962426275,-0.3026980462321279,0.15131293555592465,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,CG,The Carlyle Group Inc.,,Carlyle Group,2024-03-13,2026-03-13,501,0.020593877713425357,-0.3852592394461818,0.0534545978521618,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,EMG.L,Man Group Plc,,Man Group,2024-03-13,2026-03-13,506,-0.006007883475592002,-0.44240485937996543,-0.01358005760608531,0.7881154448457747,0.7412538228397494,False,False,False
ManagerEquity,2,full,APO,"Apollo Global Management, Inc.",,Apollo Global Management,2024-03-13,2026-03-13,501,-0.011299445466856572,-0.4282127072135591,-0.026387459495033832,0.7881154448457747,0.7412538228397494,False,False,False
